first_index,all_indices,title_hi,title_en,youtube_url,tags
674,"674, 721",महामृत्युंजय,Mahamrityunjay,https://youtu.be/OV9LXGOXjgs?si=0izGm1eYkmBS0343,"Happiness, Health, MahaShivratri, Mantra, Peace, Shivji, Strength"
675,675,हरे कृष्ण महामंत्र,Hare Krishna Mahamantra,https://youtu.be/Zdcth9NndEA?si=cBoFKjOpIFF2NbjP,"Happiness, Janmashtami, KrishnaJi, Mantra, Peace"
676,"676, 728",गणेश मंत्र,Ganesha Mantra,https://youtu.be/Naruxgq6oMU?si=xqSFGrw15ZFcqKY-,"Diwali, GaneshChaturthi, GaneshJi, Happiness, Knowledge, Mantra, Peace, Success"
678,678,शिव पंचाक्षर,Shiv Panchakshar,https://youtube.com/shorts/AK-fDVxDV6A?si=hJqXBNcFgGpUmF7A,"Happiness, MahaShivratri, Mantra, NahaneKeBaad"
679,679,लक्ष्मी मंत्र,Lakshmi Mantra,https://youtu.be/bcs4geISuy0?si=-BYP11FJGKAQ7fk3,"Diwali, Happiness, LakshmiJi, Mantra, Peace, Success, Wealth"
680,"680, 732",हनुमान मंत्र,Hanuman Mantra,https://youtu.be/Zagf46kv7p8?si=adpqwJ6tLsIAHHr0,"HanumanJayanti, Happiness, Mantra, Success"
682,682,नारायण मंत्र,Narayan Mantra,https://youtu.be/BBV0HQI3NB4?si=hqwyrr6ZWl8nXuSc,"Happiness, Health, Mantra, Strength, Strotam, Success"
684,684,शिव स्तुति,Shiv Stuti,https://youtu.be/Nod_i0EKVRw?si=dnGltyIGNaTvUMWF,"Happiness, Health, Stuti, Success"
685,"685, 715, 737",गणेश स्तुति,Ganesha Stuti,https://youtu.be/agqwzb3YzQ0?si=XnSUpCXTo4pmEzDK,"GaneshChaturthi, Happiness, Health, LoveAndRelationship, Mantra, Stuti, Success"
686,686,हनुमान स्तुति,Hanuman Stuti,https://youtu.be/CIl1O1GwOfk?si=S3QRakW4DlnGi8eb,"HanumanJayanti, HanumanJi, Happiness, Health, Mantra, Shloka, Stuti, Success"
